AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2018,28,0,ESCUELA RICARDO SILVA ARRIAGADA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,0,"-18,48506546","-70,29439545",1,10,110,165,363,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,29,9,ESCUELA AMERICA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,0,"-18,47845078","-70,28304291",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,30,2,ESCUELA DR. RICARDO OLEA GUERRA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,0,"-18,48061752","-70,28401184",0,212,215,216,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,31,0,ESCUELA DARIO SALAS DIAZ,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,50065804","-70,2545929",1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,51926422","-70,17874146",1,10,110,710,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,33,7,ESCUELA CARLOS CONDELL DE LA HAZA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,41711426","-70,22584534",1,10,110,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2018,35,3,ESCUELA GRAL. MANUEL BAQUEDANO,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,45240021","-70,06770325",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,36,1,ESCUELA IGNACIO CARRERA PINTO,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,0,"-18,49695206","-70,28397369",1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,38,8,ESCUELA ESPAÑA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,55881882","-70,10072327",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,39,6,ESCUELA PAMPA ALGODONAL,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,57821274","-69,96517181",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,41,8,ESCUELA VALLE DE CHACA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,82064247","-70,14038086",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,42,6,ESCUELA MOLINOS LLUTA,,69010100,1,15,151,15101,ARICA,151,ARICA,2,1,1,"-18,3817482","-69,94488525",0,110,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,43,4,JARDIN INFANTIL CEPILLIN,,65155997,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,439636","-70,290726",0,10,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,44,2,JARDIN INFANTIL PEQUENILANDIA,17278119,,0,15,151,15101,ARICA,151,ARICA,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2018,45,0,COLEGIO ITALIANO SANTA ANA,,70072800,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,4830605","-70,31430183",0,10,110,310,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,46,9,JARDIN INFANTIL SAN ANDRES,,76216092,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,478401","-70,30012",0,0,0,0,0,0,0,0,0,0,0,3,2,,GRATUITO,GRATUITO
2018,47,7,J.  I. KURUMI,,,9,15,151,15101,ARICA,151,ARICA,4,3,0,,,0,0,0,0,0,0,0,0,0,0,0,1,9,,SIN INFORMACION,SIN INFORMACION
2018,49,3,JARDIN INFANTIL PADRE LUIS GALLARDO,,76121544,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,475018","-70,29024",0,10,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,50,7,COLEGIO ADVENTISTA DE ARICA,,65102261,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,49332083","-70,27077135",1,110,310,0,0,0,0,0,0,0,1,1,7,ADVENTISTA,GRATUITO,GRATUITO
2018,51,5,ESCUELA PARTICULAR REPÚBLICA DEL ECUADOR,,76189122,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,4002612","-70,31498364",0,0,0,0,0,0,0,0,0,0,0,2,1,,GRATUITO,GRATUITO
2018,52,3,LICEO DOMINGO SANTA MARIA,,65145467,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,46862249","-70,30337532",1,10,110,214,310,410,810,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2018,55,8,JARDIN INFANTIL MONTESSORI GARDEN,,65144309,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,48422","-70,30817",1,10,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,56,6,COLEGIO SAN MARCOS DE ARICA,,65378030,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,47074988","-70,30482369",1,10,110,310,0,0,0,0,0,0,1,1,2,,GRATUITO,$50.001 A $100.000
2018,57,4,JARDIN INFANTIL ZORZALITO,21453113,,0,15,151,15101,ARICA,151,ARICA,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2018,58,2,JARDIN INFANTIL PETETE J.M. BORGOÐO,,76207192,1,15,151,15101,ARICA,151,ARICA,3,2,0,"-18,486109","-70,302956",0,10,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,59,0,COLEGIO SAN JORGE,5662561,,0,15,151,15101,ARICA,151,ARICA,4,3,0,"-18,50215","-70,24618",0,10,110,310,0,0,0,0,0,0,1,1,2,,MAS DE $100.000,MAS DE $100.000
